text,author_name,author_username,timestamp,relative_time,tweet_url,replies,reposts,likes,views,team_name
"('Stunning from Divine Mukasa against Villarreal in the #UYL ',)",Manchester City,@ManCity,2025-10-22T18:00:19.000Z,2h,https://x.com/ManCity/status/1981058046244901138,34,89,904,40K,ManCity
"('An unstoppable header! \n@BernardoCSilva\n ',)",Manchester City,@ManCity,2025-10-22T17:20:00.000Z,2h,https://x.com/ManCity/status/1981047900701389088,31,83,885,32K,ManCity
"('Another game, another goal! \n@ErlingHaaland\n ',)",Manchester City,@ManCity,2025-10-22T17:10:00.000Z,2h,https://x.com/ManCity/status/1981045384651714923,43,138,1.3K,35K,ManCity
"('Loud and proud as always! ',)",Manchester City,@ManCity,2025-10-21T21:46:32.000Z,22h,https://x.com/ManCity/status/1980752587453350349,70,793,7.4K,280K,ManCity
"(""A good night's work "",)",Manchester City,@ManCity,2025-10-21T21:23:02.000Z,22h,https://x.com/ManCity/status/1980746673673388196,55,499,7.9K,92K,ManCity
"('',)",Manchester City,@ManCity,2025-10-21T21:16:16.000Z,22h,https://x.com/ManCity/status/1980744970664354209,121,1.4K,30K,270K,ManCity
"('Welcome back, \n@OmarMarmoush\n ',)",Manchester City,@ManCity,2025-10-21T21:10:48.000Z,22h,https://x.com/ManCity/status/1980743597906440690,103,986,27K,223K,ManCity
"('Three points secured! \n\nListen to full-time reaction from our Matchday Live team ',)",Manchester City,@ManCity,2025-10-21T20:53:14.000Z,23h,https://x.com/ManCity/status/1980739174257807608,29,70,777,55K,ManCity
"(""A good night's work "",)",Manchester City,@ManCity,2025-10-21T21:23:02.000Z,22h,https://x.com/ManCity/status/1980746673673388196,55,499,7.9K,92K,ManCity
"('',)",Manchester City,@ManCity,2025-10-21T21:16:16.000Z,22h,https://x.com/ManCity/status/1980744970664354209,121,1.4K,30K,270K,ManCity
"('Welcome back, \n@OmarMarmoush\n ',)",Manchester City,@ManCity,2025-10-21T21:10:48.000Z,22h,https://x.com/ManCity/status/1980743597906440690,103,986,27K,223K,ManCity
"('Three points secured! \n\nListen to full-time reaction from our Matchday Live team ',)",Manchester City,@ManCity,2025-10-21T20:53:14.000Z,23h,https://x.com/ManCity/status/1980739174257807608,29,70,777,55K,ManCity
"(""A good night's work "",)",Manchester City,@ManCity,2025-10-21T21:23:02.000Z,22h,https://x.com/ManCity/status/1980746673673388196,55,499,7.9K,92K,ManCity
"('',)",Manchester City,@ManCity,2025-10-21T21:16:16.000Z,22h,https://x.com/ManCity/status/1980744970664354209,121,1.4K,30K,270K,ManCity
"('Welcome back, \n@OmarMarmoush\n ',)",Manchester City,@ManCity,2025-10-21T21:10:48.000Z,22h,https://x.com/ManCity/status/1980743597906440690,103,986,27K,223K,ManCity
"('Three points secured! \n\nListen to full-time reaction from our Matchday Live team ',)",Manchester City,@ManCity,2025-10-21T20:53:14.000Z,23h,https://x.com/ManCity/status/1980739174257807608,29,70,777,55K,ManCity
"(""A good night's work "",)",Manchester City,@ManCity,2025-10-21T21:23:02.000Z,22h,https://x.com/ManCity/status/1980746673673388196,55,499,7.9K,92K,ManCity
"('',)",Manchester City,@ManCity,2025-10-21T21:16:16.000Z,22h,https://x.com/ManCity/status/1980744970664354209,121,1.4K,30K,270K,ManCity
"('Welcome back, \n@OmarMarmoush\n ',)",Manchester City,@ManCity,2025-10-21T21:10:48.000Z,22h,https://x.com/ManCity/status/1980743597906440690,103,986,27K,223K,ManCity
"('Three points secured! \n\nListen to full-time reaction from our Matchday Live team ',)",Manchester City,@ManCity,2025-10-21T20:53:14.000Z,23h,https://x.com/ManCity/status/1980739174257807608,29,70,777,55K,ManCity
"(""A good night's work "",)",Manchester City,@ManCity,2025-10-21T21:23:02.000Z,22h,https://x.com/ManCity/status/1980746673673388196,55,499,7.9K,92K,ManCity
"('',)",Manchester City,@ManCity,2025-10-21T21:16:16.000Z,22h,https://x.com/ManCity/status/1980744970664354209,121,1.4K,30K,270K,ManCity
"('Welcome back, \n@OmarMarmoush\n ',)",Manchester City,@ManCity,2025-10-21T21:10:48.000Z,22h,https://x.com/ManCity/status/1980743597906440690,103,986,27K,223K,ManCity
"('Three points secured! \n\nListen to full-time reaction from our Matchday Live team ',)",Manchester City,@ManCity,2025-10-21T20:53:14.000Z,23h,https://x.com/ManCity/status/1980739174257807608,29,70,777,55K,ManCity
"(""A good night's work "",)",Manchester City,@ManCity,2025-10-21T21:23:02.000Z,22h,https://x.com/ManCity/status/1980746673673388196,55,499,7.9K,92K,ManCity
"('',)",Manchester City,@ManCity,2025-10-21T21:16:16.000Z,22h,https://x.com/ManCity/status/1980744970664354209,121,1.4K,30K,270K,ManCity
"('Welcome back, \n@OmarMarmoush\n ',)",Manchester City,@ManCity,2025-10-21T21:10:48.000Z,22h,https://x.com/ManCity/status/1980743597906440690,103,986,27K,223K,ManCity
"('Three points secured! \n\nListen to full-time reaction from our Matchday Live team ',)",Manchester City,@ManCity,2025-10-21T20:53:14.000Z,23h,https://x.com/ManCity/status/1980739174257807608,29,70,777,55K,ManCity
"(""A good night's work "",)",Manchester City,@ManCity,2025-10-21T21:23:02.000Z,22h,https://x.com/ManCity/status/1980746673673388196,55,499,7.9K,92K,ManCity
"('',)",Manchester City,@ManCity,2025-10-21T21:16:16.000Z,22h,https://x.com/ManCity/status/1980744970664354209,121,1.4K,30K,270K,ManCity
